売上日=uriagebi,"売上№=masterid,dempyounum",得意先ｺｰﾄﾞ=customerid,                                                                                                                                            ,
2020/7/31,87335,207,   ,
2020/7/31,87337,207,   ,
2020/7/31,87358,452,   ,
2020/7/31,87353,616,   ,
2020/7/31,87345,751,   ,
2020/7/31,87354,751,   ,
2020/7/31,87339,973,   ,
2020/7/31,87340,1009,   ,
2020/7/31,87341,1009,   ,
2020/7/30,87413,38,   ,
2020/7/30,87378,45,   ,
2020/7/30,87379,45,   ,
2020/7/30,87497,338,   ,
2020/7/30,87502,751,   ,
2020/7/29,87380,45,   ,
2020/7/29,87328,639,   ,
2020/7/29,87344,751,   ,
2020/7/28,87430,817,   ,
2020/7/28,87431,817,   ,
2020/7/27,87377,45,   ,
2020/7/27,87332,419,   ,
2020/7/27,87398,496,   ,
2020/7/27,87406,625,   ,
2020/7/25,87348,15,   ,
2020/7/25,87336,505,   ,
2020/7/23,87331,657,   ,
2020/7/23,87408,663,   ,
2020/7/22,87356,15,   ,
2020/7/22,87381,45,   ,
2020/7/22,87384,45,   ,
2020/7/22,87387,45,   ,
2020/7/22,87338,419,   ,
2020/7/21,87350,15,   ,
2020/7/21,87511,138,   ,
2020/7/21,87395,502,   ,
2020/7/21,87407,519,   ,
2020/7/21,87355,751,   ,
2020/7/20,87323,38,   ,
2020/7/20,87299,45,   ,
2020/7/20,87300,45,   ,
2020/7/20,87217,60,   ,
2020/7/20,87400,144,   ,
2020/7/20,87316,152,   ,
2020/7/20,87317,292,   ,
2020/7/20,87295,378,   ,
2020/7/20,87313,546,   ,
2020/7/20,87326,751,   ,
2020/7/20,87347,764,   ,
2020/7/20,87329,1039,   ,
2020/7/20,87312,1050,   ,
2020/7/17,87303,38,   ,
2020/7/17,87509,152,   ,
2020/7/17,87508,574,   ,
2020/7/16,87453,42,   ,
2020/7/16,87296,45,   ,
2020/7/16,87359,834,   ,
2020/7/16,87360,834,   ,
2020/7/15,87393,65,   ,
2020/7/15,87318,221,   ,
2020/7/15,87357,259,   ,
